x_nm,JA_noC,JA_withC,n_msbte_nm1,n_bte_nm1,p_1D_nm1,v_d_nm_s,v_d_m_s,epsilon_0_eV,epsilon_1_eV,A_nm2
-15.0000,3.2151e+01,3.2160e+01,3.7964e+01,3.7964e+01,2.2235e-28,3.0719e+10,3.0719e+01,-5.0611e-01,-4.5478e-01,9.9992e+01
-14.2500,3.2122e+01,3.2131e+01,3.7832e+01,3.7832e+01,4.7952e-28,3.0804e+10,3.0804e+01,-5.0411e-01,-4.5310e-01,9.9975e+01
-13.5000,3.2122e+01,3.2131e+01,3.7044e+01,3.7044e+01,6.2263e-28,3.1477e+10,3.1477e+01,-4.9745e-01,-4.4661e-01,9.9917e+01
-12.7500,3.2122e+01,3.2131e+01,3.5428e+01,3.5426e+01,1.0442e-27,3.2977e+10,3.2977e+01,-4.8420e-01,-4.3365e-01,9.9726e+01
-12.0000,3.2122e+01,3.2131e+01,3.2601e+01,3.2598e+01,2.6028e-27,3.6065e+10,3.6065e+01,-4.6082e-01,-4.1092e-01,9.9101e+01
-11.2500,3.2122e+01,3.2131e+01,2.8105e+01,2.8098e+01,1.1294e-26,4.2687e+10,4.2687e+01,-4.2319e-01,-3.7374e-01,9.7134e+01
-10.5000,3.2122e+01,3.2131e+01,2.1547e+01,2.1537e+01,9.0309e-26,5.9057e+10,5.9057e+01,-3.6836e-01,-3.1528e-01,9.1601e+01
-9.7500,3.2122e+01,3.2131e+01,1.3598e+01,1.3583e+01,1.1479e-24,1.0731e+11,1.0731e+02,-2.9439e-01,-2.4189e-01,7.9934e+01
-9.0000,3.2122e+01,3.2131e+01,7.0705e+00,7.0516e+00,1.6788e-23,2.5224e+11,2.5224e+02,-2.0811e-01,-1.5638e-01,6.5501e+01
-8.2500,3.2122e+01,3.2131e+01,3.5140e+00,3.4906e+00,1.8284e-22,5.9645e+11,5.9645e+02,-1.3318e-01,-8.4407e-02,5.5960e+01
-7.5000,3.2122e+01,3.2131e+01,2.3881e+00,2.3624e+00,1.0536e-21,9.4918e+11,9.4918e+02,-8.4367e-02,-4.1138e-02,5.1958e+01
-6.7500,3.2122e+01,3.2131e+01,2.0814e+00,2.0528e+00,3.2389e-21,1.1215e+12,1.1215e+03,-6.3581e-02,-2.8281e-02,5.0606e+01
-6.0000,3.2122e+01,3.2131e+01,1.8258e+00,1.7954e+00,7.0753e-21,1.2931e+12,1.2931e+03,-4.7514e-02,-1.5708e-02,5.0184e+01
-5.2500,3.2122e+01,3.2131e+01,1.6856e+00,1.6531e+00,1.2144e-20,1.4080e+12,1.4080e+03,-3.7356e-02,-7.9017e-03,5.0056e+01
-4.5000,3.2122e+01,3.2131e+01,1.6098e+00,1.5747e+00,1.8067e-20,1.4792e+12,1.4792e+03,-3.0421e-02,-2.6614e-03,5.0017e+01
-3.7500,3.2122e+01,3.2131e+01,1.5761e+00,1.5351e+00,2.5090e-20,1.5178e+12,1.5178e+03,-2.5061e-02,1.3770e-03,5.0005e+01
-3.0000,3.2122e+01,3.2131e+01,1.6059e+00,1.5436e+00,3.4041e-20,1.5095e+12,1.5095e+03,-2.0407e-02,4.8858e-03,5.0002e+01
-2.2500,3.2122e+01,3.2131e+01,1.7089e+00,1.6086e+00,4.3621e-20,1.4427e+12,1.4427e+03,-1.7515e-02,6.6004e-03,5.0000e+01
-1.5000,3.2122e+01,3.2131e+01,1.6785e+00,1.5466e+00,4.8052e-20,1.5061e+12,1.5061e+03,-1.8505e-02,4.3024e-03,5.0000e+01
-0.7500,3.2122e+01,3.2131e+01,1.5805e+00,1.5276e+00,4.7929e-20,1.5254e+12,1.5254e+03,-2.2024e-02,-7.1257e-04,5.0000e+01
0.0000,3.2122e+01,3.2131e+01,1.6009e+00,1.5595e+00,4.1540e-20,1.4942e+12,1.4942e+03,-2.5871e-02,-6.4672e-03,5.0000e+01
0.7500,3.2122e+01,3.2131e+01,1.5835e+00,1.5414e+00,4.1673e-20,1.5117e+12,1.5117e+03,-2.5015e-02,-3.5890e-03,5.0000e+01
1.5000,3.2122e+01,3.2131e+01,1.5774e+00,1.5352e+00,3.5770e-20,1.5178e+12,1.5178e+03,-2.4973e-02,-2.0022e-03,5.0000e+01
2.2500,3.2122e+01,3.2131e+01,1.5739e+00,1.5327e+00,3.0510e-20,1.5203e+12,1.5203e+03,-2.5551e-02,-1.3168e-03,5.0000e+01
3.0000,3.2122e+01,3.2131e+01,1.5797e+00,1.5404e+00,2.5563e-20,1.5127e+12,1.5127e+03,-2.6970e-02,-1.6003e-03,5.0002e+01
3.7500,3.2122e+01,3.2131e+01,1.5942e+00,1.5579e+00,2.0801e-20,1.4956e+12,1.4956e+03,-2.9375e-02,-2.8575e-03,5.0005e+01
4.5000,3.2122e+01,3.2131e+01,1.6277e+00,1.5936e+00,1.6042e-20,1.4617e+12,1.4617e+03,-3.3162e-02,-5.3297e-03,5.0017e+01
5.2500,3.2122e+01,3.2131e+01,1.7001e+00,1.6659e+00,1.1208e-20,1.3972e+12,1.3972e+03,-3.9200e-02,-9.6850e-03,5.0056e+01
6.0000,3.2122e+01,3.2131e+01,1.8345e+00,1.8012e+00,6.6927e-21,1.2889e+12,1.2889e+03,-4.8788e-02,-1.6929e-02,5.0184e+01
6.7500,3.2122e+01,3.2131e+01,2.0848e+00,2.0550e+00,3.1089e-21,1.1203e+12,1.1203e+03,-6.4540e-02,-2.9201e-02,5.0606e+01
7.5000,3.2122e+01,3.2131e+01,2.3896e+00,2.3632e+00,1.0163e-21,9.4884e+11,9.4884e+02,-8.5253e-02,-4.2006e-02,5.1958e+01
8.2500,3.2122e+01,3.2131e+01,3.5120e+00,3.4895e+00,1.7655e-22,5.9663e+11,5.9663e+02,-1.3407e-01,-8.5289e-02,5.5960e+01
9.0000,3.2122e+01,3.2131e+01,7.0703e+00,7.0505e+00,1.6211e-23,2.5228e+11,2.5228e+02,-2.0901e-01,-1.5728e-01,6.5501e+01
9.7500,3.2122e+01,3.2131e+01,1.3596e+01,1.3580e+01,1.1074e-24,1.0733e+11,1.0733e+02,-2.9533e-01,-2.4283e-01,7.9934e+01
10.5000,3.2122e+01,3.2131e+01,2.1546e+01,2.1535e+01,8.7096e-26,5.9060e+10,5.9060e+01,-3.6930e-01,-3.1623e-01,9.1601e+01
11.2500,3.2122e+01,3.2131e+01,2.8105e+01,2.8098e+01,1.0888e-26,4.2688e+10,4.2688e+01,-4.2414e-01,-3.7469e-01,9.7134e+01
12.0000,3.2122e+01,3.2131e+01,3.2600e+01,3.2596e+01,2.5086e-27,3.6066e+10,3.6066e+01,-4.6178e-01,-4.1187e-01,9.9101e+01
12.7500,3.2122e+01,3.2131e+01,3.5428e+01,3.5426e+01,1.0061e-27,3.2978e+10,3.2978e+01,-4.8516e-01,-4.3461e-01,9.9726e+01
13.5000,3.2122e+01,3.2131e+01,3.7044e+01,3.7043e+01,5.9983e-28,3.1477e+10,3.1477e+01,-4.9842e-01,-4.4758e-01,9.9917e+01
14.2500,3.2122e+01,3.2131e+01,3.7832e+01,3.7831e+01,4.6192e-28,3.0804e+10,3.0804e+01,-5.0508e-01,-4.5407e-01,9.9975e+01
15.0000,3.2151e+01,3.2160e+01,3.7962e+01,3.7961e+01,2.1413e-28,3.0721e+10,3.0721e+01,-5.0708e-01,-4.5576e-01,9.9992e+01
